hora,temp,press,ventvel,rad,chuva,act,classe
2,25,1008,0.1,-3.54,0,0.193,normal
3,24.9,1008,0.2,-3.54,0,0.284,anormal
4,24.9,1008.6,0.4,50.39,0,0.604,anormal
5,25.8,1009.8,0.3,303.1,0,1.284,normal
6,27.7,1010,0.4,642,0,1.596,normal
7,28.9,1010.5,0.9,1018,0,1.389,normal
8,29.5,1010.8,2.4,2098,0,1.488,normal
9,31,1010.1,1.3,2876,0,1.172,normal
10,31.3,1009.1,0.8,2722,0,1.235,normal
11,31.4,1008.6,3.1,2061,0,1.133,normal
12,31.6,1008,2.3,2278,0,1.032,normal
13,31.3,1007.6,0.6,1297,0,0.874,normal
14,29.9,1007.6,1.5,859.1,0,0.66,normal
15,28.9,1008,1,324.6,0,0.47,normal
16,28,1008,0.9,13.43,0,0.516,normal
17,27.2,1008.6,0.3,-3.54,0,0.411,normal
18,26.6,1009.5,0.5,-3.54,0,0.063,normal
19,26.5,1010,0.7,-3.52,0,0,normal
20,26,1009.9,0.5,-3.22,0,0.007,normal
21,25.7,1009.9,0,-3.54,0,0.014,normal
22,25.3,1009.6,0,-3.54,0,0.035,normal
23,25,1009.1,0.1,-3.54,0,0.053,normal
0,24.7,1008.4,0.4,-3.54,0,0.074,normal
1,24.5,1008.2,0.5,-3.54,0,0.042,normal
2,24.7,1008.2,0.4,-3.54,0,0.065,normal
3,24.6,1008.7,0.2,-3.54,0,0.116,normal
4,24.8,1009.4,0.2,45.49,0,0.285,normal
5,26.1,1010.1,0.9,193.1,0,0.893,normal
6,28.9,1010.6,0.9,370.7,0,1.211,normal
7,29.6,1011,1,806,0,1.312,normal
8,31.2,1010.9,1,1774,0,1.386,normal
9,31.6,1010.5,1.4,1988,0,1.065,normal
10,31.4,1009.7,2.1,2733,0,1.033,normal
11,31.9,1009,1.3,2512,0,0.825,normal
12,31.3,1008.5,1.8,1398,0,0.893,normal
13,28.6,1008.1,2,686.8,0,0.697,normal
14,27.5,1008,1.9,204.3,0,0.632,normal
15,26,1008.7,1.8,126.3,0,0.436,normal
16,24.6,1009.2,0.7,2.346,2,0.481,normal
17,24.7,1009.9,0.6,-1.66,3,0.128,normal
18,24.8,1010.5,0.2,-2.36,0,0.015,normal
19,25,1011.4,0,-2.74,0,0.027,normal
20,25.2,1011.7,0.1,-2.84,0,0.021,normal
21,24.8,1011.2,0.2,-3.39,0,0.116,normal
22,24.3,1010.6,0,-3.54,0,0.107,normal
23,24.1,1010,0,-3.53,0,0.136,normal
0,23.9,1009.6,0,-3.54,0,0.17,normal
1,23.7,1009.5,0,-3.49,0,0.167,normal
2,23.7,1009.9,0,-3.48,0,0.078,normal
3,23.5,1010.4,0,-3.5,0,0.213,normal
4,23.7,1010.6,0,41.98,0,0.371,normal
5,25.6,1011.3,0.9,164.2,0,0.934,normal
6,28.1,1011.9,1.3,276.1,0,1.362,normal
7,29.6,1012,1.2,603,0,1.247,normal
8,31.2,1011.9,1.1,2077,0,1.443,normal
9,31.3,1011.5,1.4,2092,0,1.284,normal
10,31.4,1010.5,0.7,2072,0,0.934,normal
11,31.6,1009.5,1.3,1869,0,0.764,normal
12,29.8,1008.9,2,456.4,0,0.793,normal
13,29.3,1008.1,1,292.1,0,0.784,normal
14,26.4,1008.2,0.7,271.7,2.4,0.658,normal
15,27.3,1008.1,1.4,91.13,0.2,0.48,normal
16,27.3,1008.6,2.1,14.85,0,0.391,normal
17,27.1,1009.7,0.9,-0.31,0,0.184,normal
18,25,1010.4,0,-3.36,2.2,0.118,normal
19,25.1,1010.5,0.1,-3.29,0,0.069,normal
20,24.9,1010.9,0.3,-3.51,0,0.026,normal
21,24.6,1010.6,0.1,-3.54,0,0.106,normal
22,24.2,1010.1,0,-3.54,0,0.129,normal
23,24,1009.4,0,-3.54,0,0.124,normal
