hora,temp,press,ventvel,rad,chuva,act,classe
10,313,10097,37,3034,0,2439371527,normal
11,32,10087,23,2822,0,1834755353,normal
12,324,10075,19,2376,0,2951686726,normal
13,318,10071,15,1735,0,5250034214,normal
14,314,10068,11,1123,0,9103563632,anormal
15,303,10073,9,308,0,2995286029,normal
16,287,10076,1,489,0,2995286029,normal
17,279,10086,17,-354,0,299,normal
18,273,10096,1,-354,0,15,normal
19,27,10103,1,-331,0,4,normal
20,264,10103,7,-319,0,15,normal
21,259,10101,5,-352,0,34,normal
22,258,10095,0,-348,0,49,normal
23,26,10089,0,-328,0,19,normal
0,26,10084,5,-305,0,189,normal
1,255,10083,0,-353,0,131,anormal
2,251,10085,0,-354,0,303,normal
3,244,10086,0,-354,0,389,normal
4,248,10092,0,4078,0,947,normal
5,264,10099,9,1857,0,1475,normal
6,276,10105,13,4145,0,1758,normal
7,29,10106,23,8985,0,1525,normal
8,295,10109,27,2085,0,1861,normal
9,308,10103,23,2962,0,1758,normal
10,31,10091,22,3024,0,132,normal
11,323,10083,17,2793,0,1217,normal
12,32,10076,13,2344,0,1209,normal
13,319,10073,23,1972,0,1123,anormal
14,315,10072,21,1236,0,648,normal
15,303,10073,8,3171,0,361,normal
16,285,10076,0,6998,0,586,normal
17,284,10081,8,-354,0,41,normal
18,279,10087,14,-354,0,37,normal
19,273,10097,9,-354,0,4,normal
20,267,1010,7,-354,0,33,normal
21,264,1010,5,-354,0,74,normal
22,26,10093,0,-354,0,53,normal
23,258,10087,1,-354,0,78,normal
0,256,10083,1,-354,0,102,normal
1,253,10081,0,-354,0,158,normal
2,25,1008,1,-354,0,193,normal
3,249,1008,2,-354,0,284,normal
4,249,10086,4,5039,0,604,normal
5,258,10098,3,3031,0,1284,normal
6,277,1010,4,642,0,1596,normal
7,289,10105,9,1018,0,1389,normal
8,295,10108,24,2098,0,1488,normal
9,31,10101,13,2876,0,1172,normal
10,313,10091,8,2722,0,1235,normal
11,314,10086,31,2061,0,1133,normal
12,316,1008,23,2278,0,1032,normal
13,313,10076,6,1297,0,874,normal
14,299,10076,15,8591,0,66,normal
15,289,1008,1,3246,0,47,normal
16,28,1008,9,1343,0,516,normal
17,272,10086,3,-354,0,411,normal
18,266,10095,5,-354,0,63,normal
19,265,1010,7,-352,0,0,normal
20,26,10099,5,-322,0,7,normal
21,257,10099,0,-354,0,14,normal
